"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",42,1,10,9,3
2017,"US",22,1,10,8,5
2017,"US",67,2,8,9,8
2017,"US",30,1,5,5,5
2017,"US",25,2,9,8,2
2017,"US",47,1,10,1,8
2017,"US",54,1,6,9,4
2017,"US",28,1,10,10,5
2017,"US",31,2,5,7,6
2017,"US",26,1,7,4,8
2017,"US",20,1,10,NA,6
2017,"US",28,1,8,5,4
2017,"US",35,2,5,8,8
2017,"US",23,2,7,10,NA
2017,"US",29,2,10,7,2
2017,"US",47,2,10,8,NA
2017,"US",27,2,6,4,5
2017,"US",25,2,5,9,5
2017,"US",27,2,10,7,6
2017,"US",55,1,8,10,2
2017,"US",47,2,10,9,4
2017,"US",29,1,8,6,3
2017,"US",28,1,7,5,7
2017,"US",27,1,10,2,4
2017,"US",33,1,8,6,5
2017,"US",41,1,10,9,6
2017,"US",57,1,10,10,5
2017,"US",20,2,8,6,3
2017,"US",25,2,10,6,4
2017,"US",24,2,10,10,1
2017,"US",46,2,9,9,6
2017,"US",27,2,10,8,5
2017,"US",42,2,10,5,4
2017,"US",40,2,10,10,5
2017,"US",63,1,7,10,5
2017,"US",25,1,7,8,5
2017,"US",39,1,10,10,5
2017,"US",32,2,8,8,8
2017,"US",24,2,10,9,4
2017,"US",45,2,8,10,5
2017,"US",74,1,8,10,8
2017,"US",46,1,8,5,NA
2017,"US",36,2,5,5,5
2017,"US",36,2,10,10,7
2017,"US",36,1,10,10,7
2017,"US",32,1,10,8,6
2017,"US",49,1,10,9,6
2017,"US",36,1,10,10,3
2017,"US",38,1,8,9,5
2017,"US",34,2,9,9,4
2017,"US",39,2,10,10,5
2017,"US",50,2,6,9,1
2017,"US",32,2,7,5,5
2017,"US",59,2,10,9,7
2017,"US",30,1,9,5,6
2017,"US",21,1,3,5,3
2017,"US",28,1,10,5,5
2017,"US",30,2,10,5,6
2017,"US",27,1,8,5,5
2017,"US",57,1,4,10,8
2017,"US",44,1,9,8,4
2017,"US",61,2,8,5,7
2017,"US",40,1,10,5,4
2017,"US",60,2,8,10,8
2017,"US",44,2,5,5,8
2017,"US",57,1,10,10,6
2017,"US",32,1,10,8,3
2017,"US",24,1,10,8,3
2017,"US",24,1,8,7,5
2017,"US",30,2,10,10,3
2017,"US",29,2,10,5,3
2017,"US",19,2,7,10,8
2017,"US",26,2,10,8,2
2017,"US",26,1,10,5,1
2017,"US",33,2,10,9,8
2017,"US",32,2,10,5,4
2017,"US",40,1,10,10,5
2017,"US",31,2,7,6,4
2017,"US",34,2,9,10,8
2017,"US",40,1,9,9,7
2017,"US",37,2,8,9,6
2017,"US",33,1,7,8,3
2017,"US",23,1,8,10,6
2017,"US",52,1,10,7,2
2017,"US",21,2,1,9,2
