"v960066","v960067","v960070","v960071","v960073","v960115","v960119","v960272","v960281","v960284","v960292","v960293","v960365","v960385","v960420","v960568","v960571","v960605","v960606","v960610","v960701","v961039","v961300","religion"
1,NA,4,4,4,4,15,15,10,NA,40,15,2,5,1,2,1,24,5,3,19,40,5,9
1,1,2,3,2,4,429,70,70,30,50,50,4,1,1,1,2,53,1,3,20,60,5,9
2,1,2,2,2,4,15,85,85,0,85,0,NA,3,0,4,1,54,1,3,23,70,5,9
1,4,4,2,3,4,15,70,60,40,70,NA,7,1,NA,2,1,41,1,3,20,NA,NA,1
2,1,3,2,2,4,15,70,60,30,60,70,6,1,4,2,1,37,3,6,10,70,5,1
1,1,2,1,2,4,516,85,90,5,80,40,2,1,1,4,2,48,5,6,NA,70,1,9
2,1,3,3,3,4,516,85,85,0,50,70,4,3,4,2,1,34,1,3,20,90,5,1
2,1,2,2,2,4,0,60,0,60,60,40,6,1,1,5,1,36,3,4,14,70,5,1
2,1,4,3,4,4,0,100,100,NA,85,85,NA,1,2,1,1,35,1,3,19,85,5,2
1,1,4,3,3,4,12,60,50,NA,40,50,NA,3,4,4,1,29,1,3,20,50,5,2
2,1,2,2,1,4,12,65,85,40,70,65,6,5,5,4,1,42,5,4,6,70,5,1
2,1,4,3,3,4,12,90,65,60,80,75,4,3,2,4,1,20,1,3,15,55,5,9
2,1,3,3,3,4,12,70,40,30,60,40,3,NA,1,2,1,70,2,3,14,40,5,9
2,1,5,2,5,4,12,50,50,40,50,50,2,NA,1,5,2,34,5,7,15,100,1,9
2,1,4,3,4,4,12,85,70,0,85,40,4,1,2,1,1,40,1,3,24,60,5,9
2,NA,NA,NA,NA,4,12,50,50,50,50,50,NA,3,NA,3,1,38,5,4,6,NA,5,7
1,1,1,1,2,4,44,70,85,70,70,30,6,1,0,5,1,60,1,7,NA,60,5,1
2,1,1,1,1,4,44,60,60,30,60,60,5,1,2,4,1,78,2,4,9,NA,NA,2
2,1,4,2,3,4,44,60,60,30,60,40,NA,1,1,4,1,32,1,6,22,60,5,2
