"","X","internettbruk","kjonn","alder","utdanning","tillit"
"331",331,5,1,36,17,5
"332",332,5,1,34,10,8
"333",333,4,2,45,13,5
"334",334,4,2,72,8,7
"335",335,4,2,40,13,6
"336",336,2,1,43,9,4
"337",337,5,2,NA,18,5
"338",338,4,2,52,8,7
"339",339,5,1,71,5,8
"340",340,5,2,49,8,4
"341",341,4,2,30,17,0
"342",342,2,2,72,18,6
"343",343,5,2,39,17,6
"344",344,1,2,85,3,0
"345",345,5,1,29,14,5
"346",346,5,1,48,13,4
"347",347,2,1,42,8,NA
"348",348,5,1,23,15,4
"349",349,5,2,17,12,NA
"350",350,5,1,49,8,3
"351",351,5,1,23,13,6
"352",352,5,2,42,5,6
"353",353,5,1,17,9,3
"354",354,5,2,33,16,0
"355",355,1,1,66,5,4
"356",356,4,1,50,13,7
"357",357,1,1,82,5,3
"358",358,5,2,25,9,5
"359",359,2,2,32,13,5
"360",360,4,2,49,8,4
"361",361,5,2,54,25,9
"362",362,5,2,66,18,NA
"363",363,5,1,21,11,2
"364",364,3,2,63,8,4
"365",365,5,2,32,19,7
"366",366,3,2,80,NA,7
"367",367,5,1,58,13,3
"368",368,5,2,44,19,7
"369",369,1,2,83,5,5
"370",370,1,2,19,13,5
"371",371,3,1,51,14,5
"372",372,5,2,55,13,5
"373",373,5,2,19,12,NA
"374",374,1,2,82,13,5
"375",375,5,2,41,19,4
"376",376,5,1,18,12,8
"377",377,5,1,73,8,0
"378",378,5,2,29,18,4
"379",379,1,1,71,8,6
"380",380,4,1,44,8,6
"381",381,4,2,54,18,5
"382",382,5,2,61,18,9
"383",383,3,1,45,13,5
"384",384,1,1,90,13,2
"385",385,5,1,19,15,6
"386",386,5,2,36,13,0
"387",387,1,2,59,2,0
"388",388,5,2,77,13,5
"389",389,5,1,20,13,NA
"390",390,3,1,73,9,0
"391",391,5,2,25,17,3
"392",392,2,1,71,9,1
"393",393,5,2,35,13,0
"394",394,5,1,70,5,5
"395",395,5,1,23,13,4
"396",396,1,1,59,8,0
"397",397,2,1,62,8,1
"398",398,4,2,57,8,4
"399",399,1,1,84,12,3
"400",400,5,1,68,20,5
"401",401,4,2,59,13,4
"402",402,1,2,66,8,7
"403",403,2,1,52,10,5
"404",404,5,2,19,13,1
"405",405,1,2,66,8,4
"406",406,5,2,54,8,2
"407",407,5,2,20,13,6
"408",408,1,2,75,5,0
"409",409,5,1,40,18,6
"410",410,1,2,65,13,6
"411",411,5,1,43,13,1
"412",412,4,1,28,15,6
"413",413,2,2,79,8,1
"414",414,5,1,37,18,2
"415",415,5,1,58,13,2
"416",416,2,2,65,8,4
"417",417,5,1,32,14,5
"418",418,5,1,61,8,0
"419",419,1,2,65,8,1
"420",420,3,2,63,11,8
"421",421,5,1,61,8,5
"422",422,5,2,21,14,4
"423",423,2,1,64,8,3
"424",424,2,2,61,10,10
"425",425,5,1,38,14,6
"426",426,5,1,27,18,5
"427",427,1,1,59,8,8
"428",428,4,2,23,13,4
